"ITTER107","Territory","TIPO_DATO6","Type of data","CITTADINANZA","Citizenship","TIME","Select year t (academic year = t-1 / t)","Value","Flag Codes","Flags"
"001272","Torino","16","university enrolments","ITL","italian","2017","2017",82939,,
"002158","Vercelli","16","university enrolments","ITL","italian","2017","2017",1142,,
"003106","Novara","16","university enrolments","ITL","italian","2017","2017",6851,,
"004078","Cuneo","16","university enrolments","ITL","italian","2017","2017",982,,
"005005","Asti","16","university enrolments","ITL","italian","2017","2017",841,,
"006003","Alessandria","16","university enrolments","ITL","italian","2017","2017",2729,,
"096004","Biella","16","university enrolments","ITL","italian","2017","2017",236,,
"007003","Aosta","16","university enrolments","ITL","italian","2017","2017",685,,
"012133","Varese","16","university enrolments","ITL","italian","2017","2017",6220,,
"013075","Como","16","university enrolments","ITL","italian","2017","2017",3064,,
"014061","Sondrio","16","university enrolments","ITL","italian","2017","2017",96,,
"015146","Milano","16","university enrolments","ITL","italian","2017","2017",157501,,
"016024","Bergamo","16","university enrolments","ITL","italian","2017","2017",13590,,
"017029","Brescia","16","university enrolments","ITL","italian","2017","2017",15422,,
"018110","Pavia","16","university enrolments","ITL","italian","2017","2017",18779,,
"019036","Cremona","16","university enrolments","ITL","italian","2017","2017",1313,,
"020030","Mantova","16","university enrolments","ITL","italian","2017","2017",765,,
"097042","Lecco","16","university enrolments","ITL","italian","2017","2017",1508,,
"098031","Lodi","16","university enrolments","ITL","italian","2017","2017",46,,
"108033","Monza","16","university enrolments","ITL","italian","2017","2017",1711,,
"021008","Bolzano/Bozen","16","university enrolments","ITL","italian","2017","2017",1863,,
"022205","Trento","16","university enrolments","ITL","italian","2017","2017",14635,,
"023091","Verona","16","university enrolments","ITL","italian","2017","2017",18997,,
"024116","Vicenza","16","university enrolments","ITL","italian","2017","2017",3855,,
"026086","Treviso","16","university enrolments","ITL","italian","2017","2017",2555,,
"027042","Venezia","16","university enrolments","ITL","italian","2017","2017",21343,,
"028060","Padova","16","university enrolments","ITL","italian","2017","2017",44849,,
"029041","Rovigo","16","university enrolments","ITL","italian","2017","2017",1899,,
"030129","Udine","16","university enrolments","ITL","italian","2017","2017",12141,,
"031007","Gorizia","16","university enrolments","ITL","italian","2017","2017",1412,,
"032006","Trieste","16","university enrolments","ITL","italian","2017","2017",12167,,
"093033","Pordenone","16","university enrolments","ITL","italian","2017","2017",893,,
"008031","Imperia","16","university enrolments","ITL","italian","2017","2017",701,,
"009056","Savona","16","university enrolments","ITL","italian","2017","2017",1325,,
"010025","Genova","16","university enrolments","ITL","italian","2017","2017",25463,,
"011015","La Spezia","16","university enrolments","ITL","italian","2017","2017",887,,
"033032","Piacenza","16","university enrolments","ITL","italian","2017","2017",3305,,
"034027","Parma","16","university enrolments","ITL","italian","2017","2017",22113,,
"035033","Reggio nell'Emilia","16","university enrolments","ITL","italian","2017","2017",7425,,
"036023","Modena","16","university enrolments","ITL","italian","2017","2017",13376,,
"037006","Bologna","16","university enrolments","ITL","italian","2017","2017",55703,,
"038008","Ferrara","16","university enrolments","ITL","italian","2017","2017",13808,,
"039014","Ravenna","16","university enrolments","ITL","italian","2017","2017",2252,,
"040012","Forlì","16","university enrolments","ITL","italian","2017","2017",5193,,
"099014","Rimini","16","university enrolments","ITL","italian","2017","2017",4062,,
"045010","Massa","16","university enrolments","ITL","italian","2017","2017",3,,
"046017","Lucca","16","university enrolments","ITL","italian","2017","2017",212,,
"047014","Pistoia","16","university enrolments","ITL","italian","2017","2017",81,,
"048017","Firenze","16","university enrolments","ITL","italian","2017","2017",45072,,
"049009","Livorno","16","university enrolments","ITL","italian","2017","2017",772,,
"050026","Pisa","16","university enrolments","ITL","italian","2017","2017",42080,,
"051002","Arezzo","16","university enrolments","ITL","italian","2017","2017",964,,
"052032","Siena","16","university enrolments","ITL","italian","2017","2017",14720,,
"053011","Grosseto","16","university enrolments","ITL","italian","2017","2017",23,,
"100005","Prato","16","university enrolments","ITL","italian","2017","2017",508,,
"054039","Perugia","16","university enrolments","ITL","italian","2017","2017",19843,,
"055032","Terni","16","university enrolments","ITL","italian","2017","2017",1233,,
"041044","Pesaro","16","university enrolments","ITL","italian","2017","2017",492,,
"042002","Ancona","16","university enrolments","ITL","italian","2017","2017",12977,,
"043023","Macerata","16","university enrolments","ITL","italian","2017","2017",9412,,
"044007","Ascoli Piceno","16","university enrolments","ITL","italian","2017","2017",1283,,
"109006","Fermo","16","university enrolments","ITL","italian","2017","2017",674,,
"056059","Viterbo","16","university enrolments","ITL","italian","2017","2017",7774,,
"057059","Rieti","16","university enrolments","ITL","italian","2017","2017",808,,
"058091","Roma","16","university enrolments","ITL","italian","2017","2017",210921,,
"059011","Latina","16","university enrolments","ITL","italian","2017","2017",3176,,
"060038","Frosinone","16","university enrolments","ITL","italian","2017","2017",794,,
"066049","L'Aquila","16","university enrolments","ITL","italian","2017","2017",16382,,
"067041","Teramo","16","university enrolments","ITL","italian","2017","2017",4876,,
"068028","Pescara","16","university enrolments","ITL","italian","2017","2017",9242,,
"069022","Chieti","16","university enrolments","ITL","italian","2017","2017",15193,,
"070006","Campobasso","16","university enrolments","ITL","italian","2017","2017",5820,,
"094023","Isernia","16","university enrolments","ITL","italian","2017","2017",491,,
"061022","Caserta","16","university enrolments","ITL","italian","2017","2017",8323,,
"062008","Benevento","16","university enrolments","ITL","italian","2017","2017",5334,,
"063049","Napoli","16","university enrolments","ITL","italian","2017","2017",128154,,
"064008","Avellino","16","university enrolments","ITL","italian","2017","2017",596,,
"065116","Salerno","16","university enrolments","ITL","italian","2017","2017",1296,,
"071024","Foggia","16","university enrolments","ITL","italian","2017","2017",8880,,
"072006","Bari","16","university enrolments","ITL","italian","2017","2017",46975,,
"073027","Taranto","16","university enrolments","ITL","italian","2017","2017",3833,,
"074001","Brindisi","16","university enrolments","ITL","italian","2017","2017",1202,,
"075035","Lecce","16","university enrolments","ITL","italian","2017","2017",16260,,
"110002","Barletta","16","university enrolments","ITL","italian","2017","2017",232,,
"076063","Potenza","16","university enrolments","ITL","italian","2017","2017",5311,,
"077014","Matera","16","university enrolments","ITL","italian","2017","2017",1518,,
"078045","Cosenza","16","university enrolments","ITL","italian","2017","2017",303,,
"079023","Catanzaro","16","university enrolments","ITL","italian","2017","2017",9448,,
"080063","Reggio di Calabria","16","university enrolments","ITL","italian","2017","2017",6537,,
"101010","Crotone","16","university enrolments","ITL","italian","2017","2017",7,,
"081021","Trapani","16","university enrolments","ITL","italian","2017","2017",666,,
"082053","Palermo","16","university enrolments","ITL","italian","2017","2017",37766,,
"083048","Messina","16","university enrolments","ITL","italian","2017","2017",21886,,
"084001","Agrigento","16","university enrolments","ITL","italian","2017","2017",1158,,
"085004","Caltanissetta","16","university enrolments","ITL","italian","2017","2017",717,,
"086009","Enna","16","university enrolments","ITL","italian","2017","2017",5511,,
"087015","Catania","16","university enrolments","ITL","italian","2017","2017",41144,,
"088009","Ragusa","16","university enrolments","ITL","italian","2017","2017",976,,
"089017","Siracusa","16","university enrolments","ITL","italian","2017","2017",928,,
"090064","Sassari","16","university enrolments","ITL","italian","2017","2017",11480,,
"091051","Nuoro","16","university enrolments","ITL","italian","2017","2017",348,,
"092009","Cagliari","16","university enrolments","ITL","italian","2017","2017",24995,,
"095038","Oristano","16","university enrolments","ITL","italian","2017","2017",213,,
"104017","Olbia","16","university enrolments","ITL","italian","2017","2017",300,,
"104025","Tempio Pausania","16","university enrolments","ITL","italian","2017","2017",3,,
"107009","Iglesias","16","university enrolments","ITL","italian","2017","2017",6,,
"087004","Acireale","16","university enrolments","ITL","italian","2017","2017",14,,
"072001","Acquaviva delle Fonti","16","university enrolments","ITL","italian","2017","2017",244,,
"063002","Afragola","16","university enrolments","ITL","italian","2017","2017",3,,
"022001","Ala","16","university enrolments","ITL","italian","2017","2017",1,,
"090003","Alghero","16","university enrolments","ITL","italian","2017","2017",472,,
"038001","Argenta","16","university enrolments","ITL","italian","2017","2017",1,,
"064005","Ariano Irpino","16","university enrolments","ITL","italian","2017","2017",78,,
"058009","Ariccia","16","university enrolments","ITL","italian","2017","2017",96,,
"054001","Assisi","16","university enrolments","ITL","italian","2017","2017",88,,
"067004","Atri","16","university enrolments","ITL","italian","2017","2017",5,,
"061005","Aversa","16","university enrolments","ITL","italian","2017","2017",4286,,
"066006","Avezzano","16","university enrolments","ITL","italian","2017","2017",325,,
"083005","Barcellona Pozzo di Gotto","16","university enrolments","ITL","italian","2017","2017",14,,
"065013","Baronissi","16","university enrolments","ITL","italian","2017","2017",1916,,
"084004","Bivona","16","university enrolments","ITL","italian","2017","2017",1,,
"079011","Borgia","16","university enrolments","ITL","italian","2017","2017",474,,
"048004","Borgo San Lorenzo","16","university enrolments","ITL","italian","2017","2017",8,,
"097009","Bosisio Parini","16","university enrolments","ITL","italian","2017","2017",212,,
"004029","Bra","16","university enrolments","ITL","italian","2017","2017",210,,
"058013","Bracciano","16","university enrolments","ITL","italian","2017","2017",357,,
"021011","Bressanone/Brixen","16","university enrolments","ITL","italian","2017","2017",1176,,
"021013","Brunico/Bruneck","16","university enrolments","ITL","italian","2017","2017",265,,
"012026","Busto Arsizio","16","university enrolments","ITL","italian","2017","2017",140,,
"048005","Calenzano","16","university enrolments","ITL","italian","2017","2017",105,,
"087011","Caltagirone","16","university enrolments","ITL","italian","2017","2017",93,,
"043007","Camerino","16","university enrolments","ITL","italian","2017","2017",4088,,
"061015","Capua","16","university enrolments","ITL","italian","2017","2017",2836,,
"108015","Carate Brianza","16","university enrolments","ITL","italian","2017","2017",95,,
"006039","Casale Monferrato","16","university enrolments","ITL","italian","2017","2017",14,,
"072015","Casamassima","16","university enrolments","ITL","italian","2017","2017",1358,,
"060019","Cassino","16","university enrolments","ITL","italian","2017","2017",7115,,
"082022","Castelbuono","16","university enrolments","ITL","italian","2017","2017",1,,
"026012","Castelfranco Veneto","16","university enrolments","ITL","italian","2017","2017",11,,
"012042","Castellanza","16","university enrolments","ITL","italian","2017","2017",2000,,
"065037","Cava de' Tirreni","16","university enrolments","ITL","italian","2017","2017",1,,
"060024","Ceccano","16","university enrolments","ITL","italian","2017","2017",5,,
"082027","Cefalù","16","university enrolments","ITL","italian","2017","2017",2,,
"071020","Cerignola","16","university enrolments","ITL","italian","2017","2017",3,,
"015070","Cernusco sul Naviglio","16","university enrolments","ITL","italian","2017","2017",37,,
"040007","Cesena","16","university enrolments","ITL","italian","2017","2017",3992,,
"040008","Cesenatico","16","university enrolments","ITL","italian","2017","2017",151,,
"017052","Chiari","16","university enrolments","ITL","italian","2017","2017",136,,
"010015","Chiavari","16","university enrolments","ITL","italian","2017","2017",174,,
"027008","Chioggia","16","university enrolments","ITL","italian","2017","2017",43,,
"054013","Città di Castello","16","university enrolments","ITL","italian","2017","2017",1,,
"057016","Cittaducale","16","university enrolments","ITL","italian","2017","2017",98,,
"043013","Civitanova Marche","16","university enrolments","ITL","italian","2017","2017",205,,
"058032","Civitavecchia","16","university enrolments","ITL","italian","2017","2017",445,,
"038005","Codigoro","16","university enrolments","ITL","italian","2017","2017",52,,
"052012","Colle di Val d'Elsa","16","university enrolments","ITL","italian","2017","2017",1,,
"058034","Colleferro","16","university enrolments","ITL","italian","2017","2017",221,,
"001090","Collegno","16","university enrolments","ITL","italian","2017","2017",79,,
"088003","Comiso","16","university enrolments","ITL","italian","2017","2017",5,,
"026021","Conegliano","16","university enrolments","ITL","italian","2017","2017",629,,
"019035","Crema","16","university enrolments","ITL","italian","2017","2017",580,,
"016091","Dalmine","16","university enrolments","ITL","italian","2017","2017",2511,,
"017067","Desenzano del Garda","16","university enrolments","ITL","italian","2017","2017",132,,
"108023","Desio","16","university enrolments","ITL","italian","2017","2017",83,,
"017068","Edolo","16","university enrolments","ITL","italian","2017","2017",230,,
"048014","Empoli","16","university enrolments","ITL","italian","2017","2017",417,,
"017070","Esine","16","university enrolments","ITL","italian","2017","2017",31,,
"042017","Fabriano","16","university enrolments","ITL","italian","2017","2017",2,,
"039010","Faenza","16","university enrolments","ITL","italian","2017","2017",453,,
"041013","Fano","16","university enrolments","ITL","italian","2017","2017",287,,
"025021","Feltre","16","university enrolments","ITL","italian","2017","2017",209,,
"065052","Fisciano","16","university enrolments","ITL","italian","2017","2017",31882,,
"054018","Foligno","16","university enrolments","ITL","italian","2017","2017",290,,
"053009","Follonica","16","university enrolments","ITL","italian","2017","2017",2,,
"058039","Frascati","16","university enrolments","ITL","italian","2017","2017",298,,
"059009","Gaeta","16","university enrolments","ITL","italian","2017","2017",267,,
"015105","Garbagnate Milanese","16","university enrolments","ITL","italian","2017","2017",67,,
"030043","Gemona del Friuli","16","university enrolments","ITL","italian","2017","2017",256,,
"067025","Giulianova","16","university enrolments","ITL","italian","2017","2017",8,,
"064038","Grottaminarda","16","university enrolments","ITL","italian","2017","2017",224,,
"001120","Grugliasco","16","university enrolments","ITL","italian","2017","2017",3470,,
"058047","Guidonia Montecelio","16","university enrolments","ITL","italian","2017","2017",37,,
"105008","Ilbono","16","university enrolments","ITL","italian","2017","2017",1,,
"037032","Imola","16","university enrolments","ITL","italian","2017","2017",583,,
"001125","Ivrea","16","university enrolments","ITL","italian","2017","2017",200,,
"042021","Jesi","16","university enrolments","ITL","italian","2017","2017",452,,
"076039","Lagonegro","16","university enrolments","ITL","italian","2017","2017",45,,
"079160","Lamezia Terme","16","university enrolments","ITL","italian","2017","2017",19,,
"023044","Legnago","16","university enrolments","ITL","italian","2017","2017",238,,
"015118","Legnano","16","university enrolments","ITL","italian","2017","2017",86,,
"028044","Legnaro","16","university enrolments","ITL","italian","2017","2017",3045,,
"080043","Locri","16","university enrolments","ITL","italian","2017","2017",7,,
"071028","Lucera","16","university enrolments","ITL","italian","2017","2017",10,,
"061048","Maddaloni","16","university enrolments","ITL","italian","2017","2017",97,,
"071029","Manfredonia","16","university enrolments","ITL","italian","2017","2017",2,,
"061049","Marcianise","16","university enrolments","ITL","italian","2017","2017",52,,
"081011","Marsala","16","university enrolments","ITL","italian","2017","2017",128,,
"076046","Marsicovetere","16","university enrolments","ITL","italian","2017","2017",87,,
"043024","Matelica","16","university enrolments","ITL","italian","2017","2017",348,,
"027023","Mira","16","university enrolments","ITL","italian","2017","2017",3,,
"027024","Mirano","16","university enrolments","ITL","italian","2017","2017",195,,
"088006","Modica","16","university enrolments","ITL","italian","2017","2017",25,,
"076050","Moliterno","16","university enrolments","ITL","italian","2017","2017",29,,
"002079","Moncrivello","16","university enrolments","ITL","italian","2017","2017",43,,
"004130","Mondovì","16","university enrolments","ITL","italian","2017","2017",18,,
"028055","Monselice","16","university enrolments","ITL","italian","2017","2017",165,,
"071033","Monte Sant'Angelo","16","university enrolments","ITL","italian","2017","2017",1,,
"024062","Montecchio Precalcino","16","university enrolments","ITL","italian","2017","2017",179,,
"067030","Mosciano Sant'Angelo","16","university enrolments","ITL","italian","2017","2017",725,,
"055022","Narni","16","university enrolments","ITL","italian","2017","2017",875,,
"058072","Nettuno","16","university enrolments","ITL","italian","2017","2017",147,,
"086012","Nicosia","16","university enrolments","ITL","italian","2017","2017",4,,
"065078","Nocera Inferiore","16","university enrolments","ITL","italian","2017","2017",11,,
"063050","Nola","16","university enrolments","ITL","italian","2017","2017",188,,
"089013","Noto","16","university enrolments","ITL","italian","2017","2017",360,,
"013163","Novedrate","16","university enrolments","ITL","italian","2017","2017",8621,,
"001171","Orbassano","16","university enrolments","ITL","italian","2017","2017",1356,,
"055023","Orvieto","16","university enrolments","ITL","italian","2017","2017",3,,
"042034","Osimo","16","university enrolments","ITL","italian","2017","2017",1,,
"090052","Ozieri","16","university enrolments","ITL","italian","2017","2017",1,,
"037046","Ozzano dell'Emilia","16","university enrolments","ITL","italian","2017","2017",743,,
"094031","Pesche","16","university enrolments","ITL","italian","2017","2017",696,,
"086014","Piazza Armerina","16","university enrolments","ITL","italian","2017","2017",78,,
"009049","Pietra Ligure","16","university enrolments","ITL","italian","2017","2017",150,,
"037048","Pieve di Cento","16","university enrolments","ITL","italian","2017","2017",173,,
"001191","Pinerolo","16","university enrolments","ITL","italian","2017","2017",9,,
"065097","Polla","16","university enrolments","ITL","italian","2017","2017",3,,
"058079","Pomezia","16","university enrolments","ITL","italian","2017","2017",216,,
"063059","Portici","16","university enrolments","ITL","italian","2017","2017",2283,,
"027029","Portogruaro","16","university enrolments","ITL","italian","2017","2017",829,,
"094038","Pozzilli","16","university enrolments","ITL","italian","2017","2017",345,,
"063060","Pozzuoli","16","university enrolments","ITL","italian","2017","2017",51,,
"089021","Priolo Gargallo","16","university enrolments","ITL","italian","2017","2017",27,,
"043044","Recanati","16","university enrolments","ITL","italian","2017","2017",1,,
"078102","Rende","16","university enrolments","ITL","italian","2017","2017",24549,,
"022161","Rovereto","16","university enrolments","ITL","italian","2017","2017",1316,,
"015189","Rozzano","16","university enrolments","ITL","italian","2017","2017",414,,
"007058","Saint-Christophe","16","university enrolments","ITL","italian","2017","2017",361,,
"044066","San Benedetto del Tronto","16","university enrolments","ITL","italian","2017","2017",993,,
"027033","San Donà di Piave","16","university enrolments","ITL","italian","2017","2017",1,,
"015192","San Donato Milanese","16","university enrolments","ITL","italian","2017","2017",85,,
"071046","San Giovanni Rotondo","16","university enrolments","ITL","italian","2017","2017",82,,
"051033","San Giovanni Valdarno","16","university enrolments","ITL","italian","2017","2017",7,,
"023076","San Pietro in Cariano","16","university enrolments","ITL","italian","2017","2017",234,,
"071051","San Severo","16","university enrolments","ITL","italian","2017","2017",105,,
"061083","Santa Maria Capua Vetere","16","university enrolments","ITL","italian","2017","2017",4323,,
"024095","Santorso","16","university enrolments","ITL","italian","2017","2017",68,,
"012119","Saronno","16","university enrolments","ITL","italian","2017","2017",100,,
